date,black_carbon
01/10/2018 17:25,0.41
01/10/2018 17:26,0.36
01/10/2018 17:27,0.02
01/10/2018 17:28,-0.28
01/10/2018 17:29,-0.17
01/10/2018 17:30,-0.12
01/10/2018 17:31,-0.48
01/10/2018 17:32,0.45
01/10/2018 17:33,1.35
01/10/2018 17:34,2.42
01/10/2018 17:35,3.45
01/10/2018 17:36,3.37
01/10/2018 17:37,2.01
01/10/2018 17:38,2.24
01/10/2018 17:39,2.63
01/10/2018 17:40,2.19
01/10/2018 17:41,2.35
01/10/2018 17:42,2.02
01/10/2018 17:43,1.83
01/10/2018 17:44,2.3
01/10/2018 17:45,2.5
01/10/2018 17:46,1.95
01/10/2018 17:47,1.74
01/10/2018 17:48,2.04
01/10/2018 17:49,1.41
01/10/2018 17:50,1.06
01/10/2018 17:51,0.69
01/10/2018 17:52,0.67
01/10/2018 17:53,0.83
01/10/2018 17:54,0.69
01/10/2018 17:55,0.77
01/10/2018 17:56,0.46
01/10/2018 17:57,0.25
01/10/2018 17:58,0.01
01/10/2018 17:59,0.4
01/10/2018 18:00,-0.38
01/10/2018 18:01,0.7
01/10/2018 18:02,-0.19
01/10/2018 18:03,0.14
01/10/2018 18:04,0.48
01/10/2018 18:05,-0.33
01/10/2018 18:06,0.62
01/10/2018 18:07,1.7
01/10/2018 18:08,1.18
01/10/2018 18:09,0.66
01/10/2018 18:10,0.88
01/10/2018 18:13,0.71
01/10/2018 18:14,0.55
01/10/2018 18:15,-0.21
01/10/2018 18:16,0.04
01/10/2018 18:17,0.27
01/10/2018 18:18,0.73
01/10/2018 18:19,0.15
01/10/2018 18:20,-0.24
01/10/2018 18:21,0.31
01/10/2018 18:22,0.1
01/10/2018 18:23,0.29
01/10/2018 18:24,0.42
01/10/2018 18:25,-0.09
01/10/2018 18:26,0.05
01/10/2018 18:27,0.39
01/10/2018 18:28,0.02
01/10/2018 18:29,0.26
01/10/2018 18:30,0.69
01/10/2018 18:31,-0.23
01/10/2018 18:32,0.41
01/10/2018 18:33,-0.08
01/10/2018 18:34,0.45
01/10/2018 18:35,0.24
01/10/2018 18:36,0.1
01/10/2018 18:37,0.29
01/10/2018 18:38,-0.25
01/10/2018 18:39,-0.43
01/10/2018 18:40,0.82
01/10/2018 18:41,-0.25
01/10/2018 18:42,0.4
01/10/2018 18:43,0
01/10/2018 18:44,0.37
01/10/2018 18:45,-0.24
01/10/2018 18:46,0.43
01/10/2018 18:47,-0.28
01/10/2018 18:48,0.18
01/10/2018 18:49,0.23
01/10/2018 18:50,0.43
01/10/2018 18:51,-0.26
01/10/2018 18:52,0.05
01/10/2018 18:53,0.41
01/10/2018 18:54,0.01
01/10/2018 18:55,0.06
01/10/2018 18:56,-0.11
01/10/2018 18:57,0.71
01/10/2018 18:58,0.57
01/10/2018 18:59,-0.03
01/10/2018 19:00,0.12
01/10/2018 19:01,-0.08
01/10/2018 19:02,0.6
01/10/2018 19:03,0.19
01/10/2018 19:04,-0.04
01/10/2018 19:05,0.44
01/10/2018 19:06,0.43
01/10/2018 19:07,-0.04
01/10/2018 19:08,0.15
01/10/2018 19:09,0.24
01/10/2018 19:10,0.56
01/10/2018 19:11,0.15
01/10/2018 19:12,0.05
01/10/2018 19:13,0.53
01/10/2018 19:14,0.11
01/10/2018 19:15,0.21
01/10/2018 19:16,0.52
01/10/2018 19:17,-0.43
01/10/2018 19:18,0.74
01/10/2018 19:19,-0.13
01/10/2018 19:20,0.4
01/10/2018 19:21,-0.04
01/10/2018 19:22,0.28
01/10/2018 19:23,0.78
01/10/2018 19:24,0.32
01/10/2018 19:25,0.09
01/10/2018 19:26,0.58
01/10/2018 19:27,0.1
01/10/2018 19:28,0.24
01/10/2018 19:29,0.32
01/10/2018 19:30,0.34
01/10/2018 19:31,0.39
01/10/2018 19:32,0.24
01/10/2018 19:33,0.31
01/10/2018 19:34,0.19
01/10/2018 19:35,0.51
01/10/2018 19:36,0.17
01/10/2018 19:37,0.04
01/10/2018 19:38,0.75
01/10/2018 19:39,0.27
01/10/2018 19:40,0.25
01/10/2018 19:41,0.78
01/10/2018 19:42,-0.41
01/10/2018 19:43,0.18
01/10/2018 19:44,0.13
01/10/2018 19:45,0.4
01/10/2018 19:46,0.38
01/10/2018 19:47,0.3
01/10/2018 19:48,0.38
01/10/2018 19:49,0.4
01/10/2018 19:50,0.03
01/10/2018 19:51,0.78
01/10/2018 19:52,-0.14
01/10/2018 19:53,0.78
01/10/2018 19:54,0.35
01/10/2018 19:55,0.58
01/10/2018 19:56,-0.07
01/10/2018 19:57,0.31
01/10/2018 19:58,0.22
01/10/2018 19:59,0.5
01/10/2018 20:00,0.27
01/10/2018 20:01,0.25
01/10/2018 20:02,0.22
01/10/2018 20:03,0.09
01/10/2018 20:04,0.29
01/10/2018 20:05,0.13
01/10/2018 20:06,0.62
01/10/2018 20:07,0.34
01/10/2018 20:08,0.09
01/10/2018 20:09,0.2
01/10/2018 20:10,0.25
01/10/2018 20:11,0.18
01/10/2018 20:12,0.58
01/10/2018 20:13,0.25
01/10/2018 20:14,0.13
01/10/2018 20:15,0.34
01/10/2018 20:16,0.35
01/10/2018 20:17,0.15
01/10/2018 20:18,0.24
01/10/2018 20:19,0.55
01/10/2018 20:20,-0.11
01/10/2018 20:21,0.42
01/10/2018 20:22,0.51
01/10/2018 20:23,0.28
01/10/2018 20:24,0.2
01/10/2018 20:25,0.12
01/10/2018 20:26,0.74
01/10/2018 20:27,-0.13
01/10/2018 20:28,0.27
01/10/2018 20:29,0.58
01/10/2018 20:30,0.02
01/10/2018 20:31,0.31
01/10/2018 20:32,0.17
01/10/2018 20:33,0.35
01/10/2018 20:34,0.21
01/10/2018 20:35,0.28
01/10/2018 20:36,0.39
01/10/2018 20:37,0.09
01/10/2018 20:38,0.58
01/10/2018 20:39,0.18
01/10/2018 20:40,0
01/10/2018 20:41,0.58
01/10/2018 20:42,0.33
01/10/2018 20:43,-0.05
01/10/2018 20:44,0.36
01/10/2018 20:45,0.49
01/10/2018 20:46,0.12
01/10/2018 20:47,0.34
01/10/2018 20:48,0.09
01/10/2018 20:49,0.07
01/10/2018 20:50,-0.19
01/10/2018 20:51,0.83
01/10/2018 20:52,0.32
01/10/2018 20:53,0.04
01/10/2018 20:54,0.08
01/10/2018 20:55,0.22
01/10/2018 20:56,0.01
01/10/2018 20:57,0.08
01/10/2018 20:58,0.41
01/10/2018 20:59,0.34
01/10/2018 21:00,-0.05
01/10/2018 21:01,0.13
01/10/2018 21:02,0.26
01/10/2018 21:03,0.11
01/10/2018 21:04,0.35
01/10/2018 21:05,0.05
01/10/2018 21:06,0.51
01/10/2018 21:07,0.09
01/10/2018 21:08,0.51
01/10/2018 21:09,-0.01
01/10/2018 21:10,0.4
01/10/2018 21:11,0.16
01/10/2018 21:12,0.36
01/10/2018 21:13,0.09
