role,latitude,longitude,height,date_time,person_id
Cycle Courier,51.468093,-0.089868,24.65,2012-12-10 09:16:23,7
Cycle Courier,51.468067,-0.089801,26.57,2012-12-10 09:23:38,7
Cycle Courier,51.46822,-0.089944,26.09,2012-12-10 09:23:44,7
Cycle Courier,51.468369,-0.089644,25.61,2012-12-10 09:23:49,7
Cycle Courier,51.468878,-0.088008,25.61,2012-12-10 09:24:07,7
Cycle Courier,51.468902,-0.087923,25.61,2012-12-10 09:24:08,7
Cycle Courier,51.469057,-0.08743,27.53,2012-12-10 09:24:15,7
Cycle Courier,51.469145,-0.087193,29.94,2012-12-10 09:24:21,7
Cycle Courier,51.469611,-0.087409,35.71,2012-12-10 09:24:31,7
Cycle Courier,51.470356,-0.087728,34.74,2012-12-10 09:24:42,7
Cycle Courier,51.47043,-0.087818,33.78,2012-12-10 09:24:44,7
Cycle Courier,51.470893,-0.088117,28.5,2012-12-10 09:24:52,7
Cycle Courier,51.471279,-0.08831,27.53,2012-12-10 09:24:59,7
Cycle Courier,51.471605,-0.088546,27.53,2012-12-10 09:25:05,7
Cycle Courier,51.472377,-0.089018,28.02,2012-12-10 09:25:19,7
Cycle Courier,51.472686,-0.089334,27.05,2012-12-10 09:25:24,7
Cycle Courier,51.472801,-0.089592,27.05,2012-12-10 09:25:27,7
Cycle Courier,51.473091,-0.090061,28.02,2012-12-10 09:25:34,7
Cycle Courier,51.473358,-0.09034,28.02,2012-12-10 09:25:39,7
Cycle Courier,51.473727,-0.090555,29.46,2012-12-10 09:25:48,7
Cycle Courier,51.474033,-0.090551,28.02,2012-12-10 09:26:00,7
Cycle Courier,51.474043,-0.090542,25.13,2012-12-10 09:26:04,7
Cycle Courier,51.473997,-0.09035,25.13,2012-12-10 09:26:08,7
Cycle Courier,51.473949,-0.090034,27.53,2012-12-10 09:26:13,7
Cycle Courier,51.474032,-0.089956,28.98,2012-12-10 09:26:17,7
Cycle Courier,51.474619,-0.090025,29.94,2012-12-10 09:26:26,7
Cycle Courier,51.474988,-0.090156,24.65,2012-12-10 09:26:33,7
Cycle Courier,51.475202,-0.090283,21.29,2012-12-10 09:26:37,7
Cycle Courier,51.47597,-0.090485,16,2012-12-10 09:26:51,7
Cycle Courier,51.476446,-0.090494,15.04,2012-12-10 09:27:02,7
